sampleid,type,group,batch,OrganType,PostInfectionDays,InfectionStatus,InfectionStatus_PostInfectionDays_Combo
Cecum_Start_blank1,blank,NA,NA,Cecum,NA,NA,NA
Cecum_Start_blank2,blank,NA,NA,Cecum,NA,NA,NA
Cecum_Start_blank3,blank,NA,NA,Cecum,NA,NA,NA
Cecum_Start_blank4,blank,NA,NA,Cecum,NA,NA,NA
Cecum_Start_blank5,blank,NA,NA,Cecum,NA,NA,NA
Cecum_6_mix_start,standard,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC1,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC2,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC3,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC4,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC5,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC6,quality control,NA,NA,Cecum,NA,NA,NA
Cecum_pooled_QC7,quality control,NA,NA,Cecum,NA,NA,NA
Cecum-6,sample,Control 1,G680,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-35,sample,Control 1,G680,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-64,sample,Control 1,G680,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-93,sample,Control 1,G680,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-122,sample,Control 1,G680,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-151,sample,GSM 1,G680,Cecum,5Days,Infected,5Days_Infected
Cecum-180,sample,GSM 1,G680,Cecum,5Days,Infected,5Days_Infected
Cecum-209,sample,GSM 1,G680,Cecum,5Days,Infected,5Days_Infected
Cecum-238,sample,GSM 1,G680,Cecum,5Days,Infected,5Days_Infected
Cecum-267,sample,GSM 1,G680,Cecum,5Days,Infected,5Days_Infected
Cecum-296,sample,Control 2,G680,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-325,sample,Control 2,G680,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-354,sample,Control 2,G680,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-383,sample,Control 2,G680,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-412,sample,Control 2,G680,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-441,sample,GSM 2,G680,Cecum,19Days,Infected,19Days_Infected
Cecum-470,sample,GSM 2,G680,Cecum,19Days,Infected,19Days_Infected
Cecum-499,sample,GSM 2,G680,Cecum,19Days,Infected,19Days_Infected
Cecum-528,sample,GSM 2,G680,Cecum,19Days,Infected,19Days_Infected
Cecum-557,sample,GSM 2,G680,Cecum,19Days,Infected,19Days_Infected
Cecum-586,sample,Control 5,G681,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-615,sample,Control 5,G681,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-644,sample,Control 5,G681,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-673,sample,Control 5,G681,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-702,sample,Control 5,G681,Cecum,5Days,Uninfected,5Days_Uninfected
Cecum-731,sample,GSM 6,G681,Cecum,5Days,Infected,5Days_Infected
Cecum-760,sample,GSM 6,G681,Cecum,5Days,Infected,5Days_Infected
Cecum-789,sample,GSM 6,G681,Cecum,5Days,Infected,5Days_Infected
Cecum-818,sample,GSM 6,G681,Cecum,5Days,Infected,5Days_Infected
Cecum-847,sample,GSM 6,G681,Cecum,5Days,Infected,5Days_Infected
Cecum-876,sample,Control 7,G681,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-905,sample,Control 7,G681,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-934,sample,Control 7,G681,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-963,sample,Control 7,G681,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-992,sample,Control 7,G681,Cecum,19Days,Uninfected,19Days_Uninfected
Cecum-1021,sample,GSM 8,G681,Cecum,19Days,Infected,19Days_Infected
Cecum-1050,sample,GSM 8,G681,Cecum,19Days,Infected,19Days_Infected
Cecum-1079,sample,GSM 8,G681,Cecum,19Days,Infected,19Days_Infected
Cecum-1108,sample,GSM 8,G681,Cecum,19Days,Infected,19Days_Infected
Cecum-1137,sample,GSM 8,G681,Cecum,19Days,Infected,19Days_Infected
Colon_Start_blank1,blank,NA,NA,Colon,NA,NA,NA
Colon_Start_blank2,blank,NA,NA,Colon,NA,NA,NA
Colon_Start_blank3,blank,NA,NA,Colon,NA,NA,NA
Colon_Start_blank4,blank,NA,NA,Colon,NA,NA,NA
Colon_Start_blank5,blank,NA,NA,Colon,NA,NA,NA
Colon_6_mix_start,standard,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC1,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC2,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC3,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC4,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC5,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC6,quality control,NA,NA,Colon,NA,NA,NA
Colon_pooled_QC7,quality control,NA,NA,Colon,NA,NA,NA
Colon-7,sample,Control 1,G680,Colon,5Days,Uninfected,5Days_Uninfected
Colon-36,sample,Control 1,G680,Colon,5Days,Uninfected,5Days_Uninfected
Colon-65,sample,Control 1,G680,Colon,5Days,Uninfected,5Days_Uninfected
Colon-94,sample,Control 1,G680,Colon,5Days,Uninfected,5Days_Uninfected
Colon-123,sample,Control 1,G680,Colon,5Days,Uninfected,5Days_Uninfected
Colon-152,sample,GSM 1,G680,Colon,5Days,Infected,5Days_Infected
Colon-181,sample,GSM 1,G680,Colon,5Days,Infected,5Days_Infected
Colon-210,sample,GSM 1,G680,Colon,5Days,Infected,5Days_Infected
Colon-239,sample,GSM 1,G680,Colon,5Days,Infected,5Days_Infected
Colon-268,sample,GSM 1,G680,Colon,5Days,Infected,5Days_Infected
Colon-297,sample,Control 2,G680,Colon,19Days,Uninfected,19Days_Uninfected
Colon-326,sample,Control 2,G680,Colon,19Days,Uninfected,19Days_Uninfected
Colon-355,sample,Control 2,G680,Colon,19Days,Uninfected,19Days_Uninfected
Colon-384,sample,Control 2,G680,Colon,19Days,Uninfected,19Days_Uninfected
Colon-413,sample,Control 2,G680,Colon,19Days,Uninfected,19Days_Uninfected
Colon-442,sample,GSM 2,G680,Colon,19Days,Infected,19Days_Infected
Colon-471,sample,GSM 2,G680,Colon,19Days,Infected,19Days_Infected
Colon-500,sample,GSM 2,G680,Colon,19Days,Infected,19Days_Infected
Colon-529,sample,GSM 2,G680,Colon,19Days,Infected,19Days_Infected
Colon-558,sample,GSM 2,G680,Colon,19Days,Infected,19Days_Infected
Colon-587,sample,Control 5,G681,Colon,5Days,Uninfected,5Days_Uninfected
Colon-616,sample,Control 5,G681,Colon,5Days,Uninfected,5Days_Uninfected
Colon-645,sample,Control 5,G681,Colon,5Days,Uninfected,5Days_Uninfected
Colon-674,sample,Control 5,G681,Colon,5Days,Uninfected,5Days_Uninfected
Colon-703,sample,Control 5,G681,Colon,5Days,Uninfected,5Days_Uninfected
Colon-732,sample,GSM 6,G681,Colon,5Days,Infected,5Days_Infected
Colon-761,sample,GSM 6,G681,Colon,5Days,Infected,5Days_Infected
Colon-790,sample,GSM 6,G681,Colon,5Days,Infected,5Days_Infected
Colon-819,sample,GSM 6,G681,Colon,5Days,Infected,5Days_Infected
Colon-848,sample,GSM 6,G681,Colon,5Days,Infected,5Days_Infected
Colon-877,sample,Control 7,G681,Colon,19Days,Uninfected,19Days_Uninfected
Colon-906,sample,Control 7,G681,Colon,19Days,Uninfected,19Days_Uninfected
Colon-935,sample,Control 7,G681,Colon,19Days,Uninfected,19Days_Uninfected
Colon-964,sample,Control 7,G681,Colon,19Days,Uninfected,19Days_Uninfected
Colon-993,sample,Control 7,G681,Colon,19Days,Uninfected,19Days_Uninfected
Colon-1022,sample,GSM 8,G681,Colon,19Days,Infected,19Days_Infected
Colon-1051,sample,GSM 8,G681,Colon,19Days,Infected,19Days_Infected
Colon-1080,sample,GSM 8,G681,Colon,19Days,Infected,19Days_Infected
Colon-1109,sample,GSM 8,G681,Colon,19Days,Infected,19Days_Infected
Colon-1138,sample,GSM 8,G681,Colon,19Days,Infected,19Days_Infected
Duodenum_Start_blank1,blank,NA,NA,Duodenum,NA,NA,NA
Duodenum_Start_blank2,blank,NA,NA,Duodenum,NA,NA,NA
Duodenum_Start_blank3,blank,NA,NA,Duodenum,NA,NA,NA
Duodenum_Start_blank4,blank,NA,NA,Duodenum,NA,NA,NA
Duodenum_Start_blank5,blank,NA,NA,Duodenum,NA,NA,NA
Duodenum_6_mix_start,standard,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC1,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC2,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC3,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC4,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC5,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC6,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum_pooled_QC7,quality control,NA,NA,Duodenum,NA,NA,NA
Duodenum-3,sample,Control 1,G680,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-32,sample,Control 1,G680,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-61,sample,Control 1,G680,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-90,sample,Control 1,G680,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-119,sample,Control 1,G680,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-148,sample,GSM 1,G680,Duodenum,5Days,Infected,5Days_Infected
Duodenum-177,sample,GSM 1,G680,Duodenum,5Days,Infected,5Days_Infected
Duodenum-206,sample,GSM 1,G680,Duodenum,5Days,Infected,5Days_Infected
Duodenum-235,sample,GSM 1,G680,Duodenum,5Days,Infected,5Days_Infected
Duodenum-264,sample,GSM 1,G680,Duodenum,5Days,Infected,5Days_Infected
Duodenum-293,sample,Control 2,G680,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-322,sample,Control 2,G680,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-351,sample,Control 2,G680,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-380,sample,Control 2,G680,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-409,sample,Control 2,G680,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-438,sample,GSM 2,G680,Duodenum,19Days,Infected,19Days_Infected
Duodenum-467,sample,GSM 2,G680,Duodenum,19Days,Infected,19Days_Infected
Duodenum-496,sample,GSM 2,G680,Duodenum,19Days,Infected,19Days_Infected
Duodenum-525,sample,GSM 2,G680,Duodenum,19Days,Infected,19Days_Infected
Duodenum-554,sample,GSM 2,G680,Duodenum,19Days,Infected,19Days_Infected
Duodenum-583,sample,Control 5,G681,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-612,sample,Control 5,G681,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-641,sample,Control 5,G681,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-670,sample,Control 5,G681,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-699,sample,Control 5,G681,Duodenum,5Days,Uninfected,5Days_Uninfected
Duodenum-728,sample,GSM 6,G681,Duodenum,5Days,Infected,5Days_Infected
Duodenum-757,sample,GSM 6,G681,Duodenum,5Days,Infected,5Days_Infected
Duodenum-786,sample,GSM 6,G681,Duodenum,5Days,Infected,5Days_Infected
Duodenum-815,sample,GSM 6,G681,Duodenum,5Days,Infected,5Days_Infected
Duodenum-844,sample,GSM 6,G681,Duodenum,5Days,Infected,5Days_Infected
Duodenum-873,sample,Control 7,G681,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-902,sample,Control 7,G681,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-931,sample,Control 7,G681,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-960,sample,Control 7,G681,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-989,sample,Control 7,G681,Duodenum,19Days,Uninfected,19Days_Uninfected
Duodenum-1018,sample,GSM 8,G681,Duodenum,19Days,Infected,19Days_Infected
Duodenum-1047,sample,GSM 8,G681,Duodenum,19Days,Infected,19Days_Infected
Duodenum-1076,sample,GSM 8,G681,Duodenum,19Days,Infected,19Days_Infected
Duodenum-1105,sample,GSM 8,G681,Duodenum,19Days,Infected,19Days_Infected
Duodenum-1134,sample,GSM 8,G681,Duodenum,19Days,Infected,19Days_Infected
Feces_Start_blank1,blank,NA,NA,Feces,NA,NA,NA
Feces_Start_blank2,blank,NA,NA,Feces,NA,NA,NA
Feces_Start_blank3,blank,NA,NA,Feces,NA,NA,NA
Feces_Start_blank4,blank,NA,NA,Feces,NA,NA,NA
Feces_Start_blank5,blank,NA,NA,Feces,NA,NA,NA
Feces_6_mix_start,standard,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC1,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC2,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC3,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC4,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC5,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC6,quality control,NA,NA,Feces,NA,NA,NA
Feces_pooled_QC7,quality control,NA,NA,Feces,NA,NA,NA
Feces-9,sample,Control 1,G680,Feces,5Days,Uninfected,5Days_Uninfected
